bowler,matches,total_wickets,total_runs_conceded,balls_bowled,economy_rate,bowling_average,strike_rate,powerplay_wickets,death_overs_wickets,fantasy_points
Parvez Rasool,3,3,0,3,0.0,0.0,1.0,1.0,0.0,90
R Ashwin,125,189,9,189,0.2857142857142857,0.0476190476190476,1.0,49.0,22.0,4812
R Bhatia,46,78,4,78,0.3076923076923077,0.0512820512820512,1.0,0.0,18.0,2001
R Dhawan,19,27,0,27,0.0,0.0,1.0,5.0,4.0,708
R McLaren,9,13,1,13,0.4615384615384615,0.0769230769230769,1.0,4.0,6.0,354
R Ninan,2,3,0,3,0.0,0.0,1.0,0.0,0.0,90
R Parag,5,5,0,5,0.0,0.0,1.0,1.0,0.0,150
R Powell,1,1,0,1,0.0,0.0,1.0,0.0,0.0,35
R Rampaul,10,15,1,15,0.4,0.0666666666666666,1.0,9.0,4.0,404
R Sai Kishore,8,13,0,13,0.0,0.0,1.0,1.0,2.0,354
R Sathish,4,6,1,6,1.0,0.1666666666666666,1.0,0.0,1.0,177
R Sharma,6,7,0,7,0.0,0.0,1.0,0.0,0.0,202
R Shepherd,3,6,1,6,1.0,0.1666666666666666,1.0,2.0,2.0,177
R Shukla,5,7,0,7,0.0,0.0,1.0,4.0,2.0,202
R Tewatia,23,36,8,36,1.3333333333333333,0.2222222222222222,1.0,0.0,4.0,937
R Vinay Kumar,55,100,8,100,0.48,0.08,1.0,27.0,44.0,2557
RA Jadeja,93,158,2,158,0.0759493670886076,0.0126582278481012,1.0,5.0,23.0,4027
RD Chahar,47,76,1,76,0.0789473684210526,0.0131578947368421,1.0,3.0,8.0,1949
RE van der Merwe,15,20,1,20,0.3,0.05,1.0,4.0,3.0,531
RG More,1,1,0,1,0.0,0.0,1.0,0.0,0.0,35
RG Sharma,9,16,1,16,0.375,0.0625,1.0,2.0,2.0,429
RJ Gleeson,1,1,0,1,0.0,0.0,1.0,1.0,0.0,35
RJ Harris,23,43,1,43,0.1395348837209302,0.0232558139534883,1.0,14.0,23.0,1114
RJ Peterson,1,3,0,3,0.0,0.0,1.0,0.0,0.0,90
RJW Topley,4,5,0,5,0.0,0.0,1.0,2.0,2.0,150
RN ten Doeschate,3,3,0,3,0.0,0.0,1.0,0.0,0.0,90
RP Meredith,15,21,0,21,0.0,0.0,1.0,2.0,11.0,556
RP Singh,46,83,2,83,0.144578313253012,0.0240963855421686,1.0,27.0,48.0,2126
RR Powar,9,13,1,13,0.4615384615384615,0.0769230769230769,1.0,6.0,0.0,354
RR Raje,4,7,0,7,0.0,0.0,1.0,0.0,0.0,202
RS Bopara,8,13,0,13,0.0,0.0,1.0,0.0,2.0,354
RS Hangargekar,1,3,0,3,0.0,0.0,1.0,1.0,1.0,90
