bowler,matches,total_wickets,total_runs_conceded,balls_bowled,economy_rate,bowling_average,strike_rate,powerplay_wickets,death_overs_wickets,Powerplay_Wicket_Percentage,DeathOver_Wicket_Percentage,Control
KT Maphaka,1,1,0,1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,
KV Sharma,50,81,10,81,0.7407407407407407,0.1234567901234567,1.0,7.0,5.0,0.08641975308641975,0.06172839506172839,0.16666666666666655
KW Richardson,11,19,1,19,0.3157894736842105,0.0526315789473684,1.0,9.0,8.0,0.47368421052631576,0.42105263157894735,0.1666666666666666
Kamran Khan,5,14,1,14,0.4285714285714285,0.0714285714285714,1.0,6.0,5.0,0.42857142857142855,0.35714285714285715,0.16666666666666663
Karanveer Singh,7,14,0,14,0.0,0.0,1.0,0.0,4.0,0.0,0.2857142857142857,
Kartik Tyagi,13,16,1,16,0.375,0.0625,1.0,5.0,6.0,0.3125,0.375,0.16666666666666666
Kuldeep Yadav,52,90,3,90,0.2,0.0333333333333333,1.0,0.0,17.0,0.0,0.18888888888888888,0.1666666666666665
L Ablish,2,5,0,5,0.0,0.0,1.0,1.0,3.0,0.2,0.6,
L Balaji,46,78,4,78,0.3076923076923077,0.0512820512820512,1.0,15.0,30.0,0.19230769230769232,0.38461538461538464,0.16666666666666638
L Ngidi,13,28,2,28,0.4285714285714285,0.0714285714285714,1.0,8.0,13.0,0.2857142857142857,0.4642857142857143,0.16666666666666663
L Wood,1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
LA Carseldine,1,1,0,1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,
LB Williams,1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
LE Plunkett,2,4,0,4,0.0,0.0,1.0,1.0,2.0,0.25,0.5,
LH Ferguson,31,57,4,57,0.4210526315789473,0.0701754385964912,1.0,17.0,17.0,0.2982456140350877,0.2982456140350877,0.16666666666666663
LI Meriwala,1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
LMP Simmons,1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
LR Shukla,13,17,0,17,0.0,0.0,1.0,0.0,8.0,0.0,0.47058823529411764,
LS Livingstone,7,11,0,11,0.0,0.0,1.0,1.0,0.0,0.09090909090909091,0.0,
Lalit Yadav,9,11,0,11,0.0,0.0,1.0,2.0,1.0,0.18181818181818182,0.09090909090909091,
M Ashwin,24,35,0,35,0.0,0.0,1.0,2.0,6.0,0.05714285714285714,0.17142857142857143,
M Jansen,14,22,1,22,0.2727272727272727,0.0454545454545454,1.0,14.0,2.0,0.6363636363636364,0.09090909090909091,0.1666666666666665
M Kartik,22,30,4,30,0.8,0.1333333333333333,1.0,4.0,4.0,0.13333333333333333,0.13333333333333333,0.16666666666666663
