batsman,bowler,balls_faced,runs_scored,dismissals,strike_rate,avg_dismissal_type,bowler_type
AB de Villiers,Z Khan,21,28,1,133.33333333333331,caught,Unknown
AC Blizzard,AB Agarkar,2,4,0,200.0,,Unknown
AC Blizzard,B Lee,10,23,1,229.99999999999997,caught,Unknown
AC Blizzard,BA Bhatt,1,1,0,100.0,,Unknown
AC Blizzard,Bipul Sharma,2,2,0,100.0,,Unknown
AC Blizzard,CH Gayle,5,1,0,20.0,,Unknown
AC Blizzard,I Sharma,3,1,0,33.33333333333333,,Unknown
AC Blizzard,IK Pathan,7,1,1,14.285714285714285,caught,Unknown
AC Blizzard,Iqbal Abdulla,7,9,0,128.57142857142858,,Unknown
AC Blizzard,JP Duminy,4,0,1,0.0,bowled,Unknown
AC Blizzard,M Morkel,13,29,0,223.0769230769231,,Unknown
AC Blizzard,P Kumar,7,12,1,171.42857142857142,caught,Unknown
AC Blizzard,R Bhatia,4,8,0,200.0,,Unknown
AC Blizzard,S Aravind,1,0,1,0.0,caught,Unknown
AC Blizzard,S Nadeem,5,3,1,60.0,caught,Unknown
AC Blizzard,Shakib Al Hasan,5,10,0,200.0,,Unknown
AC Blizzard,YK Pathan,4,1,0,25.0,,Unknown
AC Blizzard,Z Khan,5,9,0,180.0,,Unknown
AC Gilchrist,A Chandila,9,4,0,44.44444444444444,,Unknown
AC Gilchrist,A Kumble,38,34,3,89.47368421052632,"bowled, stumped, caught",Unknown
AC Gilchrist,A Mishra,33,38,2,115.15151515151516,caught,Unknown
AC Gilchrist,A Mithun,12,18,0,150.0,,Unknown
AC Gilchrist,A Nehra,48,94,1,195.83333333333331,caught,Unknown
AC Gilchrist,A Singh,5,2,1,40.0,caught,Unknown
AC Gilchrist,AB Agarkar,20,47,1,235.0,caught,Unknown
AC Gilchrist,AB Dinda,22,27,2,122.72727272727273,caught,Unknown
AC Gilchrist,AD Mathews,8,6,0,75.0,,Unknown
AC Gilchrist,AM Nayar,5,19,0,380.0,,Unknown
AC Gilchrist,AP Dole,7,17,1,242.85714285714283,caught,Unknown
