batter,matches,total_runs,balls_faced,fours,sixes,dismissals,strike_rate,batting_average,powerplay_runs,death_overs_runs,StrikeRate_Powerplay,StrikeRate_DeathOvers,Boundary_Percentage,Impact
B Laughlin,4,5,13,0,0,2,38.46153846153847,2.5,0.0,1.0,0.0,7.6923076923076925,0.0,0.9615384615384616
B Lee,17,122,89,8,8,8,137.07865168539325,15.25,0.0,102.0,0.0,114.6067415730337,65.57377049180327,20.90449438202247
B Sai Sudharsan,25,1018,727,94,31,21,140.02751031636865,48.47619047619048,267.0,112.0,36.72627235213205,15.405777166437415,55.20628683693517,67.88000262003014
B Stanlake,1,5,2,1,0,0,250.0,inf,0.0,5.0,0.0,250.0,80.0,inf
B Sumanth,4,35,37,3,0,1,94.5945945945946,35.0,0.0,23.0,0.0,62.16216216216216,34.285714285714285,33.108108108108105
BA Bhatt,2,6,7,0,1,0,85.71428571428571,inf,0.0,6.0,0.0,85.71428571428571,100.0,inf
BA Stokes,43,934,686,81,32,41,136.15160349854227,22.78048780487805,240.0,127.0,34.98542274052478,18.513119533527696,55.24625267665952,31.01599943113134
BAW Mendis,2,1,2,0,0,1,50.0,1.0,0.0,1.0,0.0,50.0,0.0,0.5
BB McCullum,94,2423,1775,245,112,91,136.50704225352112,26.626373626373628,1288.0,141.0,72.56338028169014,7.943661971830986,68.17994222038794,36.34687509673425
BB Samantray,6,86,71,10,1,4,121.12676056338027,21.5,8.0,29.0,11.267605633802818,40.845070422535215,53.48837209302325,26.04225352112676
